Date : 2024-02-20 19:38:25
Directory : d:\Proyectos de Programación\CaelisChaos\Caelis Chaos
Total : 417 files,  68534 codes, 28576 comments, 10481 blanks, all 107591 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        129 |     30,737 |     25,321 |      5,096 |     61,154 |
| HTML         |        151 |     18,605 |        750 |      1,328 |     20,683 |
| Shell Script |          1 |      7,911 |      2,034 |      1,305 |     11,250 |
| C            |         11 |      4,109 |        254 |      1,021 |      5,384 |
| Markdown     |         34 |      2,871 |          0 |      1,186 |      4,057 |
| JavaScript   |         72 |      2,020 |        121 |        152 |      2,293 |
| CSS          |          3 |      1,481 |         89 |        301 |      1,871 |
| CMake        |          6 |        348 |          0 |         61 |        409 |
| XML          |          3 |        231 |          7 |          6 |        244 |
| Log          |          6 |        185 |          0 |          2 |        187 |
| Lua          |          1 |         36 |          0 |         23 |         59 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        417 |     68,534 |     28,576 |     10,481 |    107,591 |
| . (Files)                                                                                                             |          3 |      3,521 |        174 |        483 |      4,178 |
| ..                                                                                                                    |         20 |     -5,174 |     -5,891 |       -648 |    -11,713 |
| ..\..                                                                                                                 |         20 |     -5,174 |     -5,891 |       -648 |    -11,713 |
| ..\..\C++                                                                                                             |         20 |     -5,174 |     -5,891 |       -648 |    -11,713 |
| ..\..\C++\Caelis Chaos                                                                                                |         20 |     -5,174 |     -5,891 |       -648 |    -11,713 |
| ..\..\C++\Caelis Chaos\Caelis Chaos                                                                                   |         20 |     -5,174 |     -5,891 |       -648 |    -11,713 |
| ..\..\C++\Caelis Chaos\Caelis Chaos (Files)                                                                           |          3 |     -1,671 |       -133 |       -137 |     -1,941 |
| ..\..\C++\Caelis Chaos\Caelis Chaos\Release                                                                           |          1 |        -16 |          0 |         -1 |        -17 |
| ..\..\C++\Caelis Chaos\Caelis Chaos\TobiGameEngine                                                                    |         11 |       -578 |        -10 |       -173 |       -761 |
| ..\..\C++\Caelis Chaos\Caelis Chaos\TobiGameEngine (Files)                                                            |          1 |       -249 |        -10 |        -69 |       -328 |
| ..\..\C++\Caelis Chaos\Caelis Chaos\TobiGameEngine\RTS-utilities                                                      |         10 |       -329 |          0 |       -104 |       -433 |
| ..\..\C++\Caelis Chaos\Caelis Chaos\include                                                                           |          4 |     -2,900 |     -5,748 |       -336 |     -8,984 |
| ..\..\C++\Caelis Chaos\Caelis Chaos\include\GLFW                                                                      |          2 |       -690 |     -5,563 |       -289 |     -6,542 |
| ..\..\C++\Caelis Chaos\Caelis Chaos\include\KHR                                                                       |          1 |       -117 |       -165 |        -30 |       -312 |
| ..\..\C++\Caelis Chaos\Caelis Chaos\include\glad                                                                      |          1 |     -2,093 |        -20 |        -17 |     -2,130 |
| ..\..\C++\Caelis Chaos\Caelis Chaos\x64                                                                               |          1 |         -9 |          0 |         -1 |        -10 |
| ..\..\C++\Caelis Chaos\Caelis Chaos\x64\Debug                                                                         |          1 |         -9 |          0 |         -1 |        -10 |
| Debug                                                                                                                 |          1 |         30 |          0 |          1 |         31 |
| Release                                                                                                               |          1 |          2 |          0 |          1 |          3 |
| TobiGameEngine                                                                                                        |         19 |      1,493 |        132 |        443 |      2,068 |
| TobiGameEngine (Files)                                                                                                |          5 |        722 |        116 |        199 |      1,037 |
| TobiGameEngine\GUI                                                                                                    |          2 |        127 |         15 |         35 |        177 |
| TobiGameEngine\RTS-utilities                                                                                          |         12 |        644 |          1 |        209 |        854 |
| enet-1.3.17                                                                                                           |        247 |     35,010 |      3,473 |      4,287 |     42,770 |
| enet-1.3.17 (Files)                                                                                                   |         12 |     12,235 |      2,295 |      2,355 |     16,885 |
| enet-1.3.17\docs                                                                                                      |        226 |     22,106 |        960 |      1,781 |     24,847 |
| enet-1.3.17\docs\html                                                                                                 |        226 |     22,106 |        960 |      1,781 |     24,847 |
| enet-1.3.17\docs\html (Files)                                                                                         |         90 |     18,610 |        589 |      1,529 |     20,728 |
| enet-1.3.17\docs\html\search                                                                                          |        136 |      3,496 |        371 |        252 |      4,119 |
| enet-1.3.17\include                                                                                                   |          9 |        669 |        218 |        151 |      1,038 |
| enet-1.3.17\include\enet                                                                                              |          9 |        669 |        218 |        151 |      1,038 |
| include                                                                                                               |          4 |      2,900 |      5,748 |        336 |      8,984 |
